,team,offense_pass_oe,offense_pass_oe_est,defense_pass_oe,defense_pass_oe_est,goal_offense_pass_oe,offense_snaps,defense_snaps,dropbacks,defense_yac_oe,defense_yac,defense_cpoe,defense_cpoe_est,defense_air_yards,defense_ypc,targets,carries,red_zone_targets,red_zone_carries,deep_targets,defense_sacks,defense_qb_hits,offense_sacks,offense_qb_hits,defense_tfl,offense_tfl,defense_holds_drawn,offense_holds_drawn,offense_pen_rate,defense_pen_rate,offense_hold_rate,defense_hold_rate,offense_sacks_per_dropback,offense_qb_hits_per_dropback,defense_relative_ypc,defense_relative_yac,defense_relative_air_yards
0,TEN,-6.415546932027481,-4.0153904115967505,3.7173690157002124,4.430243501432286,-5.823862330710634,648,636,319,-0.2702584618653161,5.142857142857143,-0.13842911628836918,-1.2183119691110045,7.84065934065934,4.51,282,280,17,28,10,23.0,57.0,27.0,58.0,13.0,23.0,18.0,9.0,0.125,0.11006289308176101,0.013888888888888888,0.02830188679245283,0.08463949843260188,0.18181818181818182,1.0518763629154826,0.9754558021857639,1.4871532368793643
1,CLE,-4.565279783880834,-2.5234272150762127,-0.3734562373728235,-0.7563113455770583,-11.918571135219263,595,593,286,0.46435472585305543,5.863874345549738,-1.165059520988851,-0.12226758631528284,8.052117263843648,3.701923076923077,252,268,15,31,16,27.0,64.0,25.0,37.0,14.0,23.0,11.0,14.0,0.10084033613445378,0.1315345699831366,0.023529411764705882,0.01854974704890388,0.08741258741258741,0.12937062937062938,0.8634069583030464,1.1122125493217552,1.5272608759520863
2,NO,-4.225508032344547,-2.461342152147067,3.3423141868949164,2.4205124764948405,3.3863858235153286,529,534,251,0.6435016213488621,5.919354838709677,0.5324410183446391,0.8060727304892501,9.52861952861953,3.258241758241758,225,236,19,21,15,18.0,56.0,13.0,42.0,22.0,12.0,9.0,13.0,0.10207939508506617,0.14606741573033707,0.024574669187145556,0.016853932584269662,0.05179282868525897,0.16733067729083664,0.7599262727624585,1.122735643286392,1.8073119567246523
3,CHI,-3.7165979514034784,-3.288781997750234,-0.3232320950514595,-0.058030552920807166,-13.862833669108731,505,508,237,0.7442015210242472,5.9875,-0.7089288269050815,-0.9317439115246084,8.616935483870968,4.908212560386473,203,235,9,18,12,21.0,32.0,30.0,46.0,17.0,18.0,9.0,6.0,0.12673267326732673,0.09645669291338582,0.011881188118811881,0.017716535433070866,0.12658227848101267,0.1940928270042194,1.1447522785887831,1.135660869697523,1.6343910556560082
4,SF,-3.350495935421482,-2.3014228907871197,0.04248082141081503,-0.5410005884039097,-3.4727893568374015,506,543,277,-0.49553931993767486,5.41764705882353,4.148215310027202,3.3073748160954133,8.020325203252032,4.547008547008547,253,198,13,16,5,18.0,36.0,16.0,40.0,25.0,19.0,8.0,11.0,0.116600790513834,0.11233885819521179,0.021739130434782608,0.014732965009208104,0.05776173285198556,0.1444043321299639,1.0605079407035396,1.0275757445574543,1.5212308134583992
5,MIN,-2.8954444868530302,-2.933951222616363,-2.1924239863201267,-2.0233292203656754,-3.1399547602191116,573,584,312,0.6449255212399209,6.252808988764045,-1.5105541466790087,-1.8971063132837112,8.895104895104895,4.798245614035087,291,217,13,17,12,27.0,42.0,10.0,45.0,6.0,28.0,15.0,17.0,0.1273996509598604,0.0821917808219178,0.029668411867364748,0.025684931506849314,0.03205128205128205,0.14423076923076922,1.1191044667109522,1.1859825460095639,1.687151993524095
6,DET,-2.0872812351844305,-3.375772630241676,-0.5132634559127149,-1.3731603719321466,-13.598381800036277,560,499,335,0.2998251596663731,5.66887417218543,5.249721447438425,2.446781476561097,9.972602739726028,4.614406779661017,295,183,16,17,6,14.0,26.0,23.0,55.0,17.0,15.0,12.0,7.0,0.125,0.08617234468937876,0.0125,0.02404809619238477,0.06865671641791045,0.16417910447761194,1.0762273659428772,1.0752264839398633,1.8915231232643275
7,HOU,-1.7419346292207227,0.794576985990755,-1.1158367007491756,0.4978612792395716,0.8864148970573179,571,604,322,-0.42115542567302733,4.616580310880829,1.1559524117632116,1.0980402453257567,8.323024054982818,4.7846153846153845,280,204,12,14,13,19.0,38.0,26.0,49.0,24.0,14.0,9.0,18.0,0.11033274956217162,0.10264900662251655,0.03152364273204904,0.014900662251655629,0.08074534161490683,0.15217391304347827,1.1159254609132359,0.875635843153801,1.5786442984209088
8,JAX,-1.6805639046315963,-0.827769639368586,3.7547271577854646,4.698648987262439,-9.965596252526993,547,545,312,-0.4164933079015552,4.628140703517588,8.503865732459094,5.350670209254358,8.255474452554745,3.86046511627907,291,184,17,20,12,15.0,39.0,13.0,37.0,15.0,14.0,5.0,9.0,0.09323583180987204,0.09908256880733946,0.016453382084095063,0.009174311926605505,0.041666666666666664,0.11858974358974358,0.9003840367347503,0.8778285255013428,1.5658320328273911
9,NE,-1.5165307948187197,-5.437702605554429,-1.7131186958269122,-0.7905515898659345,-9.942275118462891,605,601,325,0.41338780086532806,5.620320855614973,-3.9623956869144252,-3.5964326186593594,8.614649681528663,4.356828193832599,302,236,18,30,12,19.0,45.0,17.0,53.0,16.0,26.0,16.0,13.0,0.1305785123966942,0.10149750415973377,0.021487603305785124,0.026622296173044926,0.052307692307692305,0.16307692307692306,1.0161517947619214,1.0660172811468605,1.6339575030420592
